loc_id,time_stamp,num_of_people
17,2017-01-01 00,78
17,2017-01-01 01,55
17,2017-01-01 02,50
17,2017-01-01 03,64
17,2017-01-01 04,21
17,2017-01-01 05,27
17,2017-01-01 06,72
17,2017-01-01 07,63
17,2017-01-01 08,59
17,2017-01-01 09,176.5
17,2017-01-01 10,86
17,2017-01-01 11,118
17,2017-01-01 12,264.5
17,2017-01-01 17,240.0
17,2017-01-01 18,288.375
17,2017-01-01 19,243.0
17,2017-01-01 20,162.625
17,2017-01-01 21,123.625
17,2017-01-01 22,238.5
17,2017-01-01 23,81
17,2017-01-02 00,62
17,2017-01-02 01,40
17,2017-01-02 02,31
17,2017-01-02 03,37
17,2017-01-02 04,47
17,2017-01-02 05,57
17,2017-01-02 06,71
17,2017-01-02 07,110
17,2017-01-02 08,200
17,2017-01-02 09,283
17,2017-01-02 10,403
17,2017-01-02 11,623
17,2017-01-02 12,764
17,2017-01-02 13,602
17,2017-01-02 14,466
17,2017-01-02 15,436
17,2017-01-02 16,377
17,2017-01-02 17,580
17,2017-01-02 18,578
17,2017-01-02 19,487
17,2017-01-02 20,389
17,2017-01-02 21,387
17,2017-01-02 22,401
17,2017-01-02 23,319
17,2017-01-03 00,306
17,2017-01-03 01,56
17,2017-01-03 02,41
17,2017-01-03 03,49
17,2017-01-03 04,34
17,2017-01-03 05,41
17,2017-01-03 06,70
17,2017-01-03 07,475
17,2017-01-03 08,782
17,2017-01-03 09,464
17,2017-01-03 10,344
17,2017-01-03 11,548
17,2017-01-03 12,897
17,2017-01-03 13,764
17,2017-01-03 14,565
17,2017-01-03 15,476
17,2017-01-03 16,364
17,2017-01-03 17,712
17,2017-01-03 18,766
17,2017-01-03 19,470
17,2017-01-03 20,467
17,2017-01-03 21,443
17,2017-01-03 22,778
17,2017-01-03 23,314
17,2017-01-04 00,298
17,2017-01-04 01,241.5
17,2017-01-04 02,158.5
17,2017-01-04 03,148
17,2017-01-04 04,143
17,2017-01-04 05,121
17,2017-01-04 06,273.75
17,2017-01-04 07,688
17,2017-01-04 08,750
17,2017-01-04 09,563
17,2017-01-04 10,453
17,2017-01-04 11,617
17,2017-01-04 12,883
17,2017-01-04 13,655
17,2017-01-04 14,643
17,2017-01-04 15,417
17,2017-01-04 16,340
17,2017-01-04 17,650
17,2017-01-04 18,874
17,2017-01-04 19,790
17,2017-01-04 20,446
17,2017-01-04 21,330
17,2017-01-04 22,841
17,2017-01-04 23,692
17,2017-01-05 00,406.5
17,2017-01-05 01,241.5
17,2017-01-05 02,158.5
17,2017-01-05 03,152.5
17,2017-01-05 04,148.0
17,2017-01-05 05,151.75
17,2017-01-05 06,273.75
17,2017-01-05 07,412
